Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
,,,,,,,,,,,,,,,,Fähigkeit zur Bewertung und praktischen Umsetzung von ,"representations ((Fast) Fourier transform, finite elements, ",,, 
,,,,,,,,,,,,,,,,"Konzepten, Komponenten und Strukturen aus den oben ",polynomial bases; interpolation and quadrature)Numerical ,,, 
,,,,,,,,,,,,,,,,angegebenen Bereichen auf einer systemnahen Software-,solution of ODEsNumerical solution of PDEsVector calculus and ,,,Seite 555   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,schicht. ,tensor analysis ,,,     
,,,,,,,,,,,,,,,, , ,,, 
,,,,,,,,,,,,,,,, ,Überblick über moderne numerische Verfahren ,,,"Ruhnke, K.: Rechnungslegung nach IFRS "
,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,Einführung in die Modellierung von Problemen der Biomechanik ,,,und HGB: Lehrbuch zur Theorie und Praxis der 
,,,,,,,,,,,,,,,,Befähigung zur ganzheitlichen Sichtweise sowie zum ,Grundlagen der Diskretisierung und Kennenlernen wichtiger ,,,"Unternehmenspublizität mit Beispielen und Übungen, "
,,,,,,,,,,,,,,,,Abstrahieren und problemadäquaten Modellieren logistischer ,Diskretisierungsmethoden: ,,,"Schäffer-Poeschel, 2005 "
,,,,,,,,,,,,,,,,"Systeme und von stofflichen, informationellen und monetären ",Finite-Differenzen-Methode ,,,"Moxter, A.: Einführung in die Bilanztheorie, Gabler, 1993, S.5-97 "
,,,,,,,,,,,,,,,,Flüssen ,Finite-Volumen-Methode ,,,"Wagenhofer, A./Ewert, R.: Externe Unternehmensrechnung, "
,,,,,,,,,,,,,,,,Erlernen von allgemeingültigen Grundkonzepten und ,Finite-Element-Methode ,,,"2003, S. 1-14 und 142-168 "
,,,,,,,,,,,,,,,,"Ordnungssystemen der Begriffs-, Objekt- und Prozess-",Einführung in die Mehrkörperdynamik ,,, 
,,,,,,,,,,,,,,,,Klassifizierung , ,,, 
,,,,,,,,,,,,,,,,Erlernen von Techniken zum qualitativen und quantitativen , ,,, 
,,,,,,,,,,,,,,,,"Beschreiben von logistischen Systemen, Wirkprozessen und ",Seite 515   Inhaltsverzeichnis ,,, 
,,,,,,,,,,,,,,,,Flüssen ,     ,,, 
,,,,,,,,,,,,,,,,Deskriptives Anwenden der Modellierungskonzepte auf , ,,,Seite 557   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,spezifische reale Gegebenheiten und Situationen ,Numerische Lösung ausgewählter Probleme der Biomechanik: ,,,     
,,,,,,,,,,,,,,,, ,Festigkeit von Knochen ,,, 
,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,Stablitätsprobleme ,,,Die Literaturempfehlungen (Fachbücher und wiss. Artikel) werde 
,,,,,,,,,,,,,,,,Befähigung zum Klassifizieren und Bewerten von komplexen ,Kerbspannungsprobleme ,,,als Teil des Foliensatzes angekündigt. 
,,,,,,,,,,,,,,,,Logistikprozessen einschließlich der Organisationskonzepte ,Biologisches OptimierungsprinzipKräfte bei ,,,Die Literaturliste kann zusätzliche Fallstudien und weitere 
,,,,,,,,,,,,,,,,Befähigung zum Abstrahieren von Realprozessen und zum ,"Bewegungsvorgängen (Lauf, Sprung) ",,,wissenschaftliche Arbeiten umfassen. Diese werden am Anfang 
,,,,,,,,,,,,,,,,Wiedererkennen von Standardabläufen und Referenzlösungen ,Einführung in die mathematische Modellbildung (Rand- und ,,,des jeweiligen Veranstaltungsblocks bekannt gegeben. 
,,,,,,,,,,,,,,,,Erlernen von Techniken zur bausteinorientierten ,"Eigenwertprobleme, Energiemethoden, Variationsrechnung) ",,, 
,,,,,,,,,,,,,,,,"Prozessanalyse, -strukturierung, -modellierung und -bewertung ",Grundlagen der näherungsweisen Berechnung von technischen ,,, 
,,,,,,,,,,,,,,,,Anwenden von Verfahren der überschlägigen quantitativen ,"Problemstellungen (Differenzenverfahren, Ritz, Galerkin, ",,, 
,,,,,,,,,,,,,,,,Beschreibung von Stoffflüssen und der Grundkonzepte für ,Methode der gewichteten Residuen) ,,, 
,,,,,,,,,,,,,,,,Messstellen und Logistikregelkreise zur Ablauforganisation ,Einführung in die Diskretisierungsmethoden (Netz- und ,,, 
,,,,,,,,,,,,,,,, ,Gittergenerierung) ,,, 
,,,,,,,,,,,,,,,, ,Vermittlung der wesentlichen Grundlagen der Finite-Elemente-,,,Seite 559   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,"Methode an Hand von 1D (Stab, Balken) und 2D-Problemen: ",,,     
,,,,,,,,,,,,,,,,Vermittlung grundlegender Kenntnissen zu Methoden der ,"Ableitung der Elementmatrizen (Statik, Dynamik), ",,, 
,,,,,,,,,,,,,,,,Technischen Mechanik ,"Konvergenzbedingungen, ",,,"[1] Lunze, J.: Regelungstechnik 1, Springer, 2004 "
,,,,,,,,,,,,,,,,Erläuterung des methodischen Vorgehens: Lösung von ,"Interpolationsfunktionen, Substrukturtechnik, Einführung in die ",,, 
,,,,,,,,,,,,,,,,Problemstellungen der Statik unter Nutzung grundlegender ,Fehleranalyse. ,,, 
,,,,,,,,,,,,,,,,Prinzipien der Technischen Mechanik ,"Numerik: Kondition von Matrizen, Gleichungslösung, ",,,Seite 560   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Grundkenntnisse im Bereich der Festigkeit ,"Eigenwertberechnung, numerische Integration, Zeitintegration ",,,     
,,,,,,,,,,,,,,,,Festigung des Wissens in Übungen durch Modellierung und ,Einführung in die Softwarenutzung (für Übungszwecke wird ,,, 
,,,,,,,,,,,,,,,,Berechnung einfacher technischer Systeme ,jedem Studenten eine FEM-Software für PC zur Verfügung ,,,"[2] Föllinger, O.: Regelungstechnik, Hüthig, 1994 "
,,,,,,,,,,,,,,,, ,gestellt); ,,,"[3] Dorf, R. C.: Bishop, R. H.: Modern Control Systems, Prentice "
,,,,,,,,,,,,,,,, , ,,,"Hall, 2004 "
,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: , ,,,"[4] Horn, M.: Dourdoumas, N.: Regelungstechnik Pearson "
,,,,,,,,,,,,,,,,Vermittlung von grundlegenden Kenntnissen zu den Methoden ,Seite 517   Inhaltsverzeichnis ,,,"Studium, 2004 "
,,,,,,,,,,,,,,,,der Technischen Mechanik ,     ,,, 
,,,,,,,,,,,,,,,,Erläuterung des methodischen Vorgehens bei Lösung von , ,,, 
,,,,,,,,,,,,,,,,Problemstellungen der Statik unter Nutzung der grundlegenden ,"Lösung von Modellbeispielen (Stab, Balken, Scheibe) am ",,, 
,,,,,,,,,,,,,,,,Prinzipien der Technischen Mechanik ,"Rechner und Diskussion der Lösungsergebnisse (Qualität, ",,, 
,,,,,,,,,,,,,,,,Vermittlung von Grundkenntnissen im Bereich der Festigkeit ,Genauigkeit) ,,, 
,,,,,,,,,,,,,,,,Festigung des Wissens in den Übungen durch Modellierung und ,Jeder Student löst eigenständig drei individuelle ,,,Seite 561   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Berechnung einfacher technischer Systeme ,Übungsaufgaben (Testat). ,,,     
,,,,,,,,,,,,,,,, ,Static optimization ,,, 
,,,,,,,,,,,,,,,,Grundlegende Kenntnissen zu Methoden der Technischen ,Numerical algorithms ,,, 
,,,,,,,,,,,,,,,,MechanikErläuterung methodischen Vorgehens bei Lösung von ,"Dynamic programming, principle of optimality, Hamilton-Jacobi-",,, 
,,,,,,,,,,,,,,,,Prob-lemstellungen der Mechanik unter Nutzung der ,Bellmann equation ,,, 
,,,,,,,,,,,,,,,,grundlegenden Prinzipien ,Variational calculus ,,,Seite 562   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Grundkenntnissen der Festigkeit und Dynamik ,Pontryagin maximum principle ,,,     
,,,,,,,,,,,,,,,,Festigung des Wissens in Übungen durch Modellierung u. ,Numerical solution of optimal control problems ,,, 
,,,,,,,,,,,,,,,,Berechnung einfacher technischer Systeme ,"Infinite and finite horizon optimal control, LQ optimal control ",,, 
,,,,,,,,,,,,,,,, ,Model predictive control ,,, 
,,,,,,,,,,,,,,,, ,Game theory ,,, 
,,,,,,,,,,,,,,,,"Die Lehrveranstaltung verfolgt das Ziel, Basiskompetenzen zu ",Application examples from various fields such as chemical ,,, 
,,,,,,,,,,,,,,,,den Grundlagen der Energieübertragung und Energiewandlung ,"engineering, economics, aeronautics, robotics, biomedicine and ",,, 
,,,,,,,,,,,,,,,,sowie dem Zustandsverhalten von Systemen zu entwickeln. Die ,systems biology ,,, 
,,,,,,,,,,,,,,,,Studenten erwerben Fertigkeiten zur energetischen Bilanzierung ,Einführung in Organic Computing (Modellierung und ,,,Seite 564   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,von technischen Systemen sowie zur energetischen Bewertung ,Definitionen) ,,,     
,,,,,,,,,,,,,,,,"von Prozessen. In der Übung werden sie insbesondere befähigt, ","Selbstorganisation, Emergenz ",,, 
,,,,,,,,,,,,,,,,die Methodik der Thermodynamik für die Schulung des ,Multiagenten Systeme ,,,Boissonnat (Ed.); Effective Computational Geometry 
,,,,,,,,,,,,,,,,analytischen Denkvermögens zu nutzen und erreichen eine ,Online und Offline Lernmechanismen (Learning Classifier ,,,"Mehlhorn, Yap; Robust Geometric Computation (in "
,,,,,,,,,,,,,,,,Grundkompetenz zur Identifizierung und Lösung energetischer ,Systems) ,,,Vorbereitung) 
,,,,,,,,,,,,,,,,Problemstellungen. ,Architekturen des Organic Computing ,,, 
,,,,,,,,,,,,,,,,Im 2. Semester des Moduls erwerben die Studenten vertiefte ,Robustheit und Zuverlässigkeit ,,, 
,,,,,,,,,,,,,,,,Kenntnisse und eignen sich Fertigkeiten zur energetischen ,Überblick zu Aufgaben und Funktionen der Personal- und ,,, 
,,,,,,,,,,,,,,,,Bilanzierung und Bewertung technisch wichtiger Prozesse an. ,Organisationsentwicklung ,,, 
,,,,,,,,,,,,,,,,Außerdem sollen die Studenten die Fähigkeit zur ,aktuelle Trends in der Personal- und Organisationsentwicklung ,,, 
,,,,,,,,,,,,,,,,wissenschaftlich fundierten Arbeit sowie zu energie- und ,Ableitung von Anforderungen an die Kompetenzentwicklung ,,,Seite 566   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,umweltbewusstem Handeln bei der beruflichen Tätigkeit ,"Konzeption, Ansätze zur Gruppen- und Teamarbeit sowie ",,,     
,,,,,,,,,,,,,,,,erlangen. ,Mitarbeiterbeteiligung in der Wirtschaft ,,, 
,,,,,,,,,,,,,,,, ,soziale und kommunikative Kompetenzen in der Gruppenarbeit ,,, 
,,,,,,,,,,,,,,,,Erlernen von Fähigkeiten zur Inbetriebnahme und Nutzung funk- ,Steuerung gruppendynamischer Prozesse über die ,,, 
,,,,,,,,,,,,,,,,"und bildbasierter Identifikations-, Ortungs- und ",Themenzentrierte Interaktion (TZI) ,,, 
,,,,,,,,,,,,,,,,KommunikationstechnologienDesign von Telematiksystemen für ,Anwendung von Kreativitätstechniken in der Gruppenarbeit ,,,Seite 567   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,lange Prozessketten in der Logistik und intralogistische ,systematisches und methodisches Handeln in der ,,,     
,,,,,,,,,,,,,,,,Aufgaben ,Problemlösung ,,, 
,,,,,,,,,,,,,,,, ,Moderation von Gruppenarbeit. ,,,Siehe www.sim.ovgu.de 
,,,,,,,,,,,,,,,,Vermittlung des Systems der Maxwellschen Gleichungen als , ,,, 
,,,,,,,,,,,,,,,,Grundlage für das physikalische Verständnis und die , ,,, 
,,,,,,,,,,,,,,,,"mathematische Beschreibung elektrischer, magnetischer und ",Seite 523   Inhaltsverzeichnis ,,, 
,,,,,,,,,,,,,,,,elektromagnetischer PhänomeneSystematische Behandlung der ,     ,,, 
,,,,,,,,,,,,,,,,elektromagnetischen Felder und adäquater , ,,, 
,,,,,,,,,,,,,,,,Berechnungsmethoden sowie Herstellung des Bezugs zu realen , ,,,Seite 569   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,"Problemstellungen in den Bereichen der Elektrotechnik, ",Parallel programming is becoming increasingly important since ,,,     
,,,,,,,,,,,,,,,,"Elektronik, Kommunikationstechnik ",even phones and laptops contain multiple processor cores ,,, 
,,,,,,,,,,,,,,,,Entwicklung von Fertigkeiten zur Lösung konkreter ,nowadays. Supercomputers can contain up to several million ,,,Siehe www.sim.ovgu.de 
,,,,,,,,,,,,,,,,Aufgabenstellungen ,cores and have become a useful and important tool for a wide ,,, 
,,,,,,,,,,,,,,,, ,range of scientific domains. The analyses and simulations ,,, 
,,,,,,,,,,,,,,,,Vertiefter physikalischer Einblick in Ausgleichs- und ,enabled by them have accelerated the process of gaining ,,, 
,,,,,,,,,,,,,,,,Ausbreitungs-vorgänge auf Leitungsverbindungen bei schnellen ,scientific insight considerably. ,,, 
,,,,,,,,,,,,,,,,"zeitlichen Änderungen oder hohen Frequenzen, wenn ihre ", ,,, 
,,,,,,,,,,,,,,,,Ausdehnung bezüglich der Verzögerungszeit bzw. Wellenlänge , ,,, 
,,,,,,,,,,,,,,,,nicht vernachlässigt werden kann.Kenntnis der Grundlösungen ,Seite 525   Inhaltsverzeichnis ,,,Seite 571   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,und Näherungsmodelle in Spezialfällen aus den Bereichen der ,     ,,,     
,,,,,,,,,,,,,,,,"Energietechnik, Elektronik/Schaltungstechnik und ", ,,, 
,,,,,,,,,,,,,,,,Kommunikationstechnik ,The amount of collected and produced data is growing ,,,Siehe www.sim.ovgu.de 
,,,,,,,,,,,,,,,,Mathematische Beschreibung und Analyse der dynamischen ,"exponentially; it has to be stored, analyzed and processed ",,, 
,,,,,,,,,,,,,,,,Vorgängen auf Leitungen im Zeit- und Frequenzbereich bei ,efficiently since I/O significantly affects overall performance. ,,, 
,,,,,,,,,,,,,,,,beliebiger Leitungsbeschaltung: Leitungsgleichungen in ,Vastly different rates of performance development for ,,, 
,,,,,,,,,,,,,,,,"komplexer Form, Reflexionsfaktor, Welligkeit, ",processors and storage hardware result in a performance ,,,Seite 572   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,"Widerstandstransformation, Smith-Diagramm, ","imbalance, which makes it even more important to take a close ",,,     
,,,,,,,,,,,,,,,,"Vierpolersatzschaltungen, Kettenleiter ",look at storage systems in order to be able to meet future ,,, 
,,,,,,,,,,,,,,,,"Mehrfachleitungen: Leitungsdifferentialgleichungssystem, ",demands. ,,,Will be announced at the beginning of the term. 
,,,,,,,,,,,,,,,,"Parametermatrizen, Modaltransformation. ",The lecture will teach the fundamentals of parallel storage ,,, 
,,,,,,,,,,,,,,,, ,systems and I/O; the exercises will allow transferring and ,,, 
,,,,,,,,,,,,,,,,Understanding the nature and importance of future user ,applying the acquired skills with a system programming ,,, 
,,,,,,,,,,,,,,,,interfaces and the challenges and problems associated with ,"language such as C, C++ or Rust. ",,, 
,,,,,,,,,,,,,,,,them ,"As part of the lecture, we will cover the complete storage stack: ",,, 
,,,,,,,,,,,,,,,,"Getting to know, analyzing and evaluating technologies, ","Storage devices and networks (hard disk drives, solid-state disks, ",,, 
,,,,,,,,,,,,,,,,interaction techniques and methods for the development of ,"storage area networks etc.), local and distributed file systems (in ",,,Seite 574   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,advanced user interfacesAbility to select suitable technologies ,"kernel and user space, novel concepts like snapshots and ",,,     
,,,,,,,,,,,,,,,,and interaction techniques in the field of three-dimensional and ,deduplication) as well as the I/O interfaces layered on top ,,, 
,,,,,,,,,,,,,,,,modern Post-WIMP user interfaces ,"(POSIX, MPI-IO, NetCDF and ADIOS). Moreover, we will discuss ",,, 
,,,,,,,,,,,,,,,, ,reasons and solutions for performance problems as well as ,,, 
,,,,,,,,,,,,,,,, ,alternative approaches for I/O (such as cloud interfaces). ,,, 
,,,,,,,,,,,,,,,,Seite 674   Inhaltsverzeichnis ,Problems and examples will be motivated using real-world ,,, 
,,,,,,,,,,,,,,,,     ,scientific applications. ,,, 
,,,,,,,,,,,,,,,, , ,,, 
,,,,,,,,,,,,,,,,Ability to critically analyze scientific literature and knowledge of ,Die parallele Programmierung gewinnt immer mehr an ,,,Seite 576   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,scientific publishing ,"Bedeutung, da heutzutage bereits Mobiltelefone und Laptops ",,,     
,,,,,,,,,,,,,,,,Ability to conduct own research on a postgraduate level in the ,über mehrere Prozessorkerne verfügen. Supercomputer ,,, 
,,,,,,,,,,,,,,,,field of advanced user interfaces ,besitzen teilweise sogar mehrere Millionen Kerne und haben ,,,http://wwwisg.cs.uni-magdeburg.de/bv/ 
,,,,,,,,,,,,,,,, ,sich als ein nützliches und mittlerweile unverzichtbares ,,, 
,,,,,,,,,,,,,,,,Lernziele & erworbene Kompetenzen: ,Werkzeug für viele Wissenschaftsbereiche etabliert. Die dadurch ,,, 
,,,,,,,,,,,,,,,,Befähigung zum Finden asymptotisch effizienter Lösungen für , ,,, 
,,,,,,,,,,,,,,,,"algorithmische Probleme mit Hilfe von Methoden, die dem ", ,,, 
,,,,,,,,,,,,,,,,aktuellen Stand der Technik entsprechen ,Seite 527   Inhaltsverzeichnis ,,, 
,,,,,,,,,,,,,,,, ,     ,,,Seite 578   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,, , ,,,     
,,,,,,,,,,,,,,,,Lernziele & erworbene Kompetenzen: ,"möglichen Analysen und Simulationen haben es erlaubt, den ",,, 
,,,,,,,,,,,,,,,,Anwendung und Training von Schlüssel- und Methodenkompe-,wissenschaftlichen Erkenntnisgewinn in vielen Bereichen ,,,Literatur siehe unter: 
,,,,,,,,,,,,,,,,tenzen. Hierzu können gehören: ,deutlich zu steigern. ,,,http://omen.cs.uni-magdeburg.de/itiamsl/lehre/ 
,,,,,,,,,,,,,,,,Team- und Projektarbeitmündliche PräsentationBericht ,Die optimale Nutzung dieser Komponenten ist allerdings keine ,,, 
,,,,,,,,,,,,,,,,anfertigenZeit- und Selbstmanagementberufliche ,"einfache Aufgabe, weshalb Wissenschaftlerinnen und ",,, 
,,,,,,,,,,,,,,,,Orientierungwissenschaftliches Arbeiten ,Wissenschaftler bei der Entwicklung effizienter Anwendungen ,,, 
,,,,,,,,,,,,,,,, ,vor immer neue Herausforderungen gestellt werden. Für die ,,, 
,,,,,,,,,,,,,,,, ,parallele Programmierung ist daher ein tiefergehendes ,,, 
,,,,,,,,,,,,,,,,Lernziele & erworbene Kompetenzen: ,Verständnis der Hard- und Softwareumgebung sowie möglicher ,,,Seite 580   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Anwendung und Training von Schlüssel- und ,Fehlerursachen unabdingbar. ,,,     
,,,,,,,,,,,,,,,,Methodenkompetenzen. Hierzu können gehören:Team- und ,In der Vorlesung werden die Grundlagen der parallelen ,,, 
,,,,,,,,,,,,,,,,"Projektarbeit,mündliche Präsentation,Bericht anfertigen, ",Programmierung gelehrt; die Übungen dienen der praktischen ,,,Literatur siehe unter: 
,,,,,,,,,,,,,,,,"Zeit- und Selbstmanagement,berufliche ",Anwendung und Umsetzung der erworbenen Kenntnisse in der ,,,http://omen.cs.uni-magdeburg.de/itiamsl/lehre/ 
,,,,,,,,,,,,,,,,"Orientierung,wissenschaftliches Arbeiten. ",Programmiersprache C. ,,, 
,,,,,,,,,,,,,,,, ,Im Rahmen der Vorlesung werden einige der wichtigsten ,,, 
,,,,,,,,,,,,,,,, ,Themengebiete betrachtet: Hard- und Softwarekonzepte ,,, 
,,,,,,,,,,,,,,,,Lernziele & erworbene Kompetenzen: ,"(Mehrkernprozessoren, Prozesse/Threads, NUMA etc.), ",,, 
,,,,,,,,,,,,,,,,Grundverständnis der Problematik d. Transaktionsverwaltung ,unterschiedliche Ansätze zur parallelen Programmierung ,,, 
,,,,,,,,,,,,,,,,Kenntnisse von theoretischen Grundlagen ,"(OpenMP, POSIX Threads, MPI) sowie Werkzeuge zur ",,,Seite 582   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Kenntnisse zur Algorithmen u. Verfahren zur Synchronisation ,"Leistungsanalyse und Fehlersuche (Skalierbarkeit, Deadlocks, ",,,     
,,,,,,,,,,,,,,,,Kenntnisse über Algorithmen und Verfahren zur Aufrecht-,Race Conditions etc.). Zusätzlich werden Gründe und ,,, 
,,,,,,,,,,,,,,,,erhaltung der ACID-Eigenschaften ,Lösungsansätze für Leistungsprobleme diskutiert und alternative ,,,Literatur siehe unter: 
,,,,,,,,,,,,,,,, ,Ansätze für die parallele Programmierung vorgestellt. Beispiele ,,,http://omen.cs.uni-magdeburg.de/itiamsl/lehre/ 
,,,,,,,,,,,,,,,, ,und Probleme werden anhand realer wissenschaftlicher ,,, 
,,,,,,,,,,,,,,,, ,Anwendungen veranschaulicht. ,,, 
,,,,,,,,,,,,,,,,Seite 682   Inhaltsverzeichnis , ,,, 
,,,,,,,,,,,,,,,,     ,Praktikumsspezifisch in Bezug auf den Studiengang ,,, 
,,,,,,,,,,,,,,,, , ,,, 
,,,,,,,,,,,,,,,, ,Praktikum als Softwareentwicklungsprojekt: Bearbeitung eines ,,,Seite 584   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Dispersed solids find broad industrial application as raw ,ausgewähltes aktuelles Themas und Lösung einer ,,,     
,,,,,,,,,,,,,,,,"materials (e.g. coal), products (e.g. plastic granulates) or ",anspruchsvollen Entwicklungsaufgabe aus dem Bereich der IT ,,, 
,,,,,,,,,,,,,,,,auxiliaries (e.g. catalyst pellets). Solids are in this way involved in ,"Sicherheit, wie zum Beispiel aus: ",,,Literatur siehe unter: 
,,,,,,,,,,,,,,,,"numerous important processes, e.g. regenerative heat transfer, ","System-, Netzwerk- und Anwendungssicherheit ",,,http://omen.cs.uni-magdeburg.de/itiamsl/lehre/ 
,,,,,,,,,,,,,,,,"adsorption, chromatography, drying, heterogeneous catalysis. ", ,,, 
,,,,,,,,,,,,,,,,"To the most frequent forms of the dispersed solids belong fixed, ", ,,, 
,,,,,,,,,,,,,,,,ag-itated and fluidized beds. In the lecture the transport ,Seite 530   Inhaltsverzeichnis ,,, 
,,,,,,,,,,,,,,,,"phenomena, i.e. momentum, heat and mass transfer, in such ",     ,,, 
,,,,,,,,,,,,,,,,"systems are discussed. It is shown, how physical fundamentals ", ,,, 
,,,,,,,,,,,,,,,,in combination with mathematical models and with intelligent ,Kryptologie und Protokolle ,,,Seite 586   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,laboratory experiments can be used for the design of processes ,Mediensicherheit und Biometrische Systeme ,,,     
,,,,,,,,,,,,,,,,"and products, and for the dimensioning of the appropriate ",Spezifikation und formale Verifikation sicherer Systeme ,,, 
,,,,,,,,,,,,,,,,apparatuses. ,IT Sicherheits-Management ,,,http://wwwisg.cs.uni-magdeburg.de/bv/ 
,,,,,,,,,,,,,,,,"Master transport phenomena in granular, particulate and ", ,,, 
,,,,,,,,,,,,,,,,porous media ,"The course covers the following topics, among others: ",,, 
,,,,,,,,,,,,,,,,Learn to design respective processes and products ,Introduction to Scientific Work ,,, 
,,,,,,,,,,,,,,,,Learn to combine mathematical modelling with lab experiments ,Literature Research and Management ,,, 
,,,,,,,,,,,,,,,, ,Research Projects and Thesis Topics ,,, 
,,,,,,,,,,,,,,,, ,Scientific Writing - Thesis Structure and Writing Techniques ,,,Seite 588   Inhaltsverzeichnis 
,,,,,,,,,,,,,,,,Lernziele & zu erwerbende Kompetenzen: ,Study Skills & Self Management ,,,     
,,,,,,,,,,,,,,,,"Verständnis des Spannungsfeldes aus Umweltaspekten, ",Project Management & Team Work ,,, 
,,,,,,,,,,,,,,,,umweltorientierter Leistung und Umweltinformation ,Presentation Skills ,,,Will be announced in the beginning of the lecture. 
